"mass","form","mod","rad","ref","thk","shape","ht","vol","conc","hd","keff","sd"
50,"alpha","h2o",5.08,"h2o",15.24,"sph",10.16,549.1358,0.09105216,1,0.38177,3e-04
50,"alpha","h2o",7.62,"h2o",2.54,"sph",15.24,1853.333,0.02697842,1,0.44557,0.00031
50,"alpha","h2o",7.62,"h2o",5.08,"sph",15.24,1853.333,0.02697842,1,0.46763,0.00032
50,"alpha","h2o",7.62,"h2o",7.62,"sph",15.24,1853.333,0.02697842,1,0.47393,0.00032
50,"alpha","h2o",7.62,"h2o",10.16,"sph",15.24,1853.333,0.02697842,1,0.47546,0.00031
50,"alpha","h2o",7.62,"h2o",12.7,"sph",15.24,1853.333,0.02697842,1,0.47611,0.00029
50,"alpha","h2o",7.62,"h2o",15.24,"sph",15.24,1853.333,0.02697842,1,0.47621,3e-04
50,"alpha","h2o",10.16,"h2o",2.54,"sph",20.32,4393.086,0.01138152,1,0.44518,0.00027
50,"alpha","h2o",10.16,"h2o",5.08,"sph",20.32,4393.086,0.01138152,1,0.4596,0.00025
50,"alpha","h2o",10.16,"h2o",7.62,"sph",20.32,4393.086,0.01138152,1,0.46253,0.00025
50,"alpha","h2o",10.16,"h2o",10.16,"sph",20.32,4393.086,0.01138152,1,0.46346,0.00025
50,"alpha","h2o",10.16,"h2o",12.7,"sph",20.32,4393.086,0.01138152,1,0.46398,0.00025
50,"alpha","h2o",10.16,"h2o",15.24,"sph",20.32,4393.086,0.01138152,1,0.46426,0.00024
50,"alpha","h2o",12.7,"h2o",2.54,"sph",25.4,8580.247,0.005827338,1,0.38601,2e-04
50,"alpha","h2o",12.7,"h2o",5.08,"sph",25.4,8580.247,0.005827338,1,0.39398,0.00018
50,"alpha","h2o",12.7,"h2o",7.62,"sph",25.4,8580.247,0.005827338,1,0.39667,0.00018
50,"alpha","h2o",12.7,"h2o",10.16,"sph",25.4,8580.247,0.005827338,1,0.39711,0.00018
50,"alpha","h2o",12.7,"h2o",12.7,"sph",25.4,8580.247,0.005827338,1,0.39713,0.00017
50,"alpha","h2o",12.7,"h2o",15.24,"sph",25.4,8580.247,0.005827338,1,0.39745,0.00019
50,"alpha","h2o",15.24,"h2o",2.54,"sph",30.48,14826.67,0.003372302,1,0.31374,0.00014
50,"alpha","h2o",15.24,"h2o",5.08,"sph",30.48,14826.67,0.003372302,1,0.31813,0.00014
50,"alpha","h2o",15.24,"h2o",7.62,"sph",30.48,14826.67,0.003372302,1,0.31978,0.00014
50,"alpha","h2o",15.24,"h2o",10.16,"sph",30.48,14826.67,0.003372302,1,0.31986,0.00014
50,"alpha","h2o",15.24,"h2o",12.7,"sph",30.48,14826.67,0.003372302,1,0.32023,0.00014
50,"alpha","h2o",15.24,"h2o",15.24,"sph",30.48,14826.67,0.003372302,1,0.32,0.00014
50,"alpha","h2o",17.78,"h2o",2.54,"sph",35.56,23544.2,0.002123666,1,0.24765,1e-04
50,"alpha","h2o",17.78,"h2o",5.08,"sph",35.56,23544.2,0.002123666,1,0.25056,1e-04
50,"alpha","h2o",17.78,"h2o",7.62,"sph",35.56,23544.2,0.002123666,1,0.25134,0.00011
50,"alpha","h2o",17.78,"h2o",10.16,"sph",35.56,23544.2,0.002123666,1,0.25167,1e-04
50,"alpha","h2o",17.78,"h2o",12.7,"sph",35.56,23544.2,0.002123666,1,0.25147,1e-04
50,"alpha","h2o",17.78,"h2o",15.24,"sph",35.56,23544.2,0.002123666,1,0.25167,1e-04
50,"alpha","h2o",20.32,"h2o",2.54,"sph",40.64,35144.69,0.00142269,1,0.19447,7e-05
50,"alpha","h2o",20.32,"h2o",5.08,"sph",40.64,35144.69,0.00142269,1,0.19616,7e-05
50,"alpha","h2o",20.32,"h2o",7.62,"sph",40.64,35144.69,0.00142269,1,0.19662,7e-05
50,"alpha","h2o",20.32,"h2o",10.16,"sph",40.64,35144.69,0.00142269,1,0.19675,7e-05
50,"alpha","h2o",20.32,"h2o",12.7,"sph",40.64,35144.69,0.00142269,1,0.19675,7e-05
50,"alpha","h2o",20.32,"h2o",15.24,"sph",40.64,35144.69,0.00142269,1,0.19669,7e-05
50,"alpha","h2o",22.86,"h2o",2.54,"sph",45.72,50040,0.000999201,1,0.15309,5e-05
50,"alpha","h2o",22.86,"h2o",5.08,"sph",45.72,50040,0.000999201,1,0.1542,5e-05
50,"alpha","h2o",22.86,"h2o",7.62,"sph",45.72,50040,0.000999201,1,0.15445,5e-05
50,"alpha","h2o",22.86,"h2o",10.16,"sph",45.72,50040,0.000999201,1,0.15449,5e-05
50,"alpha","h2o",22.86,"h2o",12.7,"sph",45.72,50040,0.000999201,1,0.15465,5e-05
50,"alpha","h2o",22.86,"h2o",15.24,"sph",45.72,50040,0.000999201,1,0.15451,5e-05
